	Unnamed: 0	id	qid1	qid2	question1	question2	is_duplicate	prediction_match
2296	103125	103125	170523	170524	Which are the best Science websites?	What are the best science websites?	1	1
2298	103257	103257	170701	170702	What is a non polar solvent?	Is ethyl acetate a polar or non-polar compound?	0	3
2299	103339	103339	170826	170827	What is India's infant mortality rate?	What is the infant mortality rate for India?	1	1
2305	103620	103620	171229	171230	How do I gain weight? Are weight gainers really effective?	Does Ayurwin Nutrigain really help you gain weight without any side effects?	0	2
2313	103947	103947	171697	171698	Can cocaine help access altered states of consciousness?	Can someone completely alter their state of mind without drugs?	0	2
2314	104013	104013	171802	171803	Is there a natural treatment for bipolar disorder?	Can bipolar disorder be cured?	0	3
2323	104568	104568	172636	172637	Can meditation make you grow taller?	Can meditation make me grow taller?	1	3
2325	104674	104674	150741	172785	What is fetal hypoxia?	What is fetal ketonuria?	0	3
2329	104876	104876	30859	62003	Can i get pregnant the day after my period ends?	Can I get pregnant two days after my period ends?	1	3
2337	105147	105147	43591	5895	Can you get pregnant the day before your period starts?	Can u get pregnant the day after your period ends?	1	3
2342	105473	105473	10235	97316	How India can respond to the Uri terror attack?	How should we react on Uri camp terror attack?	1	3
2345	105565	105565	104203	174059	What is the difference between a Scanning Electron Microscope and a Transmission Electron Microscope?	What would a black hole look like in a electron microscope?	0	1
2354	105798	105798	87244	26081	Can you get a Second hand high from smoke outside?	Can you get high off of second hand marijuana (weed) smoke?	1	2
2364	106413	106413	175294	175295	Do aloe vera products have a long-lasting effect?	Do aloe vera products have long lasting effect?	1	1
2365	106440	106440	175333	175334	What are hydrogen bonds?	How does hydrogen bonding work?	0	3
2374	106939	106939	176051	176052	Where to watch the Rugby World Cup?	Where can I watch the Rugby World Cup in New York?	0	2
2381	107481	107481	45116	26351	How is a chemical equation balanced?	How do I balance a chemical equation in chemistry?	1	1
2382	107525	107525	120515	111727	What does first sex feel like?	What is like having sex for the first time?	1	1
2383	107593	107593	85485	70443	How can you determine the chemical formula for iodine propanone?	How can you determine the chemical formula for calcium dioxide?	0	3
2387	107944	107944	49462	177474	What causes black spots on a cat's tongue?	What causes black spots on a cat's nose?	0	1
2389	107992	107992	20431	80146	Can I get pregnant a week after my cycle?	Can I get pregnant a couple hours before I got my period?	1	1
2393	108263	108263	132388	177933	Do ants die of old age?	Could plants die of old age?	0	3
2394	108288	108288	43343	15938	How much data can the human brain store?	How much information can human brain store?	1	3
2396	108402	108402	178130	178131	What is a suitable inpatient drug and alcohol rehab center in Mills County IA?	What is a suitable inpatient drug and alcohol rehab center in Webster County IA?	0	2
2397	108483	108483	178237	91641	What is best position for sex?	What is the best sex position?	1	1
2400	108600	108600	34524	1841	Is vacuum energy infinite?	Can an infinite amount of dark or vacuum or gravitational energy be created with expansion?	1	3
2402	108615	108615	178422	178423	Can giant airplane glide when their engines fail?	Can a passenger airplane glide if all engines fail?	1	3
2412	109288	109288	179386	64739	What is group dynamics theory?	What is group dynamic?	1	1
2413	109349	109349	179484	179485	How can I get a free code for sim network?	How can I get a free code for sim network for phone?	1	3
2430	110571	110571	62004	65964	Can I fall pregnant after 3days of my period?	Can you get pregnant a couple days before your period?	1	3
2444	111137	111137	129420	89825	Is interface theory of perception a satisfying theory?	Is interface theory of perception a well tested theory?	1	1
2452	111464	111464	182558	182559	What is difference between web analytics and digital analytics? Which one is best?	What is web analytics?	0	3
2467	112335	112335	183823	183824	Can capillary action combined with a siphon draw water up and out higher than it was extracted?	How can we heat up water without fire?	0	3
2477	112761	112761	184451	184452	Can I do a mix of coconut oil with castor oil for hair growth and nourishment?	Can castor oil be applied to hair daily?	0	3
2500	113864	113864	185973	185974	Scientists say that the human body produces magnetic field so, can we harness this magnetic field and induce electrical energy just from the body?	Can we increase the mass of an electron accelerated in an electric field, coupled by a pulsed transverse magnetic field?	0	3
2502	114063	114063	186248	186249	Where is the best Whirlpool air conditioner repair center in Hyderabad?	Where can we find Whirlpool Air conditioner Repair Center in Hyderabad?	1	2
2507	114236	114236	186508	186509	Can contact lenses cause a subconjunctival hemorrhage?	How can contact lenses cause a subconjunctival hemorrhage?	1	3
2511	114394	114394	186739	186740	Are we really moving towards a one world government?	Is the earth moving towards a single world government?	1	1
2521	114897	114897	166154	187456	What does worm meat taste like?	What does kitten meat taste like?	0	1
2524	115122	115122	187790	187791	What is composite material?	What was the first composite material?	0	1
2532	115546	115546	46566	188397	How can a skinny guy with a fast metabolism gain weight?	How can a skinny guy get a fit physique?	1	3
2533	115568	115568	188427	188428	Can we use Lloyd Electric Kettle for the boiling of milk?	Can we boil milk in a water kettle?	0	2
2542	116045	116045	189119	189120	Can I use gram flour and turmeric face pack daily on my face?	Can I use face wash. While I'm use turmeric in face pack?	0	3
2544	116096	116096	111136	189187	Is a knee replacement complicated to perform after a complete patellectomy?	Is a knee replacement more difficult after a complete patellectomy?	1	3
2551	116506	116506	189779	189780	Can you die from anemia?	Can you die from gum disease?	0	3
2556	116694	116694	190024	190025	What are the chemical processes used in forensic science?	What are some chemical and chemical processes use in forensic science?	1	1
2567	117339	117339	190940	190941	Can you die from a broken back?	Can I die from too much Xanax?	0	3
2569	117458	117458	191125	191126	How can I live a tension free life?	How can I live a stress free life?	1	1
2571	117550	117550	191260	191261	Do glass slab really show dispersion?	Glass Prisms show dispersion. If a human has witnessed a rainbow halo around the head of its shadow, does this show humans are prisms too or crystallized beings?	0	3
2579	117913	117913	130412	52934	How can one learn a new language quickly?	How can I learn a language like a ninja? Super fast!	1	1
2580	117924	117924	191783	191784	What is a good inpatient drug and alcohol rehab center near Bingham County ID?	What is a good inpatient drug and alcohol rehab center near Power County ID?	0	2
2587	118371	118371	192408	17874	Which is a suitable inpatient drug and alcohol rehab center near Cook County GA?	Which is a suitable inpatient drug and alcohol rehab center near White County GA?	0	2
2592	118604	118604	192729	192730	Does semen contain urine?	Does semen contain blood?	0	1
2600	118994	118994	101683	193292	Where can I get best furniture removal or storage services in Central Coast?	Where can I get very reliable furniture removal services in Central Coast?	1	2
2605	119312	119312	193743	193744	What is the best way to practice for the American Red Cross Lifeguard test?	Is there a practice test for the Red Cross Lifeguard test?	0	3
2607	119342	119342	50552	103412	Can hamsters eat cucumber?	Can hamsters eat cheese?	1	3
2623	120001	120001	5742	80146	How possible is it to get pregnant one day after my 3 day period?	Can I get pregnant a couple hours before I got my period?	1	1
2625	120100	120100	59316	194847	Is a heart attack a painful death?	Can a person die of a broken heart?	0	3
2629	120140	120140	194905	194906	What is a typical day like for a forensic proctologist?	Who is the best proctologist in India?	0	1
2648	120962	120962	66505	196096	Is first sex painful?	How do I make sex first time less painful?	1	1
2649	121026	121026	171454	14354	How can you determine the Lewis dot structure for sulfur trioxide?	How can you determine the Lewis dot structure for sulfur?	0	3
2657	121310	121310	196599	37697	What is the real time application of the trees in data structures?	What is the real life application of tree data structures?	1	1
2666	121876	121876	197396	23544	Can swallowing of semen during oral sex lead to pregnancy?	What causes bad breath during pregnancy?	0	1
2668	122001	122001	197571	197572	How can Nitrogen exhibit +5 oxidation state?	How can nitrogen exhibit +4 oxidation state?	0	3
2671	122176	122176	27406	6772	Which foods help gain weight?	Which is the best food to gain weight?	1	3
2678	122387	122387	5196	67852	How old is too old for med school? Or law school?	Am I too old to get into medical school?	1	3
2688	122687	122687	26881	62004	Can you get pregnant 16 days after your period?	Can I fall pregnant after 3days of my period?	1	3
2689	122904	122904	198825	198826	What can cause morning sickness?	What can cause morning sickness other than pregnancy?	0	3
2691	122932	122932	198872	157826	Which is a suitable inpatient drug and alcohol rehab center near Scott County IA?	Which is a suitable inpatient drug and alcohol rehab center near Franklin County IA?	0	2
2697	123086	123086	199086	199087	Can antioxidants slow the aging process?	How much can one slow down the aging process?	0	3
2698	123171	123171	199209	199210	What organisms can't get cancer?	Can a microbes/germ or fungi, or simple animals e.g. Caenorhabditis elegans get cancer?	0	2
2702	123365	123365	199474	14538	What is a suitable inpatient drug and alcohol rehab center near Shelby County IL?	What is a suitable inpatient drug and alcohol rehab center near Cook County IL?	0	2
2709	123686	123686	182398	69053	How long should you boil crab legs?	How do you boil frozen crab leg?	1	3
2716	123955	123955	15927	85668	How can you determine the molecular formula of hydrogen?	How can the molecular formula of glycerol be determined?	0	3
2722	124105	124105	200480	200481	How does a small issue of drinking water negatively affect?	How does a substance's polarity affect its solubility in water?	0	1
2735	124596	124596	201165	201166	How is a hose's flow rate determined?	How is a garden hose's flow rate determined?	0	1
2746	124991	124991	201731	201732	Louisiana–Monroe Football Live Stream | Watch Louisiana–Monroe Warhawks Football Game Today Live Streaming Online?	Western Illinois Football Live Stream | Watch Western Illinois Leathernecks Football Game Today Live Streaming Online?	0	1
2752	125223	125223	202049	202050	What are ionic compounds?	Can ionic compounds become ionic gases?	0	1
2760	125683	125683	202721	202722	Can scalp psoriasis be permanently cured?	Can scalp psoriasis cause hair loss?	0	3
2764	125763	125763	191774	202829	What is life like in China?	Which region or city of China has the best quality of life?	0	2
2766	125808	125808	202896	202897	Can you spray paint on rubber?	Does spray paint stay on rubber?	1	1
2770	125908	125908	203042	203043	What does sheep milk cheese taste like?	How does a Chai tea taste like without milk?	0	1
2771	125921	125921	30859	5742	Can i get pregnant the day after my period ends?	How possible is it to get pregnant one day after my 3 day period?	1	3
2775	126071	126071	9	109465	Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?	Which  freezes faster, sugar water or salt water? science  project	0	2
2781	126391	126391	151011	30690	What is a good inpatient drug and alcohol rehab center near Richmond County GA?	Which is a good inpatient drug and alcohol rehab center near Washington County GA?	0	2
2782	126421	126421	203746	92273	Which is a good inpatient drug and alcohol rehab center near Lamar County AL?	Which is a good inpatient drug and alcohol rehab center near Perry County AL?	0	2
2784	126506	126506	174689	203848	Where can I get safe pest control service in Australia?	Where can I get pest control service in Australia?	0	2
2790	126948	126948	204486	9686	Which is a suitable inpatient drug and alcohol rehab center near Jackson County GA?	Which is a suitable inpatient drug and alcohol rehab center near Johnson County GA?	0	2
2807	127812	127812	205697	45763	Which is a good inpatient drug and alcohol rehab center near Phillips County AR?	What is a good inpatient drug and alcohol rehab center near Lawrence County AR?	0	2
2812	128047	128047	160701	4059	Where can I find best pest control service in Sydney?	Where you can find Pest control service in Sydney?	1	2
2824	128504	128504	206640	128224	What is the actual definition of a refractive index?	What is refraction index?	1	3
2830	128705	128705	206920	83825	What are some great references to learn web design?	Where can I learn web design?	1	3
2836	128806	128806	207060	207061	Murray State Football Live Stream | Watch Murray State Racers Football Game Today Live Streaming Online?	Weber State Football Live Stream | Watch Weber State Wildcats Football Game Today Live Streaming Online?	0	1
2852	129391	129391	207866	207867	What's the difference between citalopram vs. xanax?	Can Citalopram be used to treat memory loss?	0	3
2856	129587	129587	208134	140146	Can carbon dioxide be separated into carbon and oxygen?	How can carbon dioxide be split into carbon and oxygen?	1	3
2866	130001	130001	208720	208721	What is the force between a point charge and a conducting plate?	Does a point charge thrown at speed of light follow electric lines of force?	0	1
2868	130264	130264	209091	160931	Where can I get the best asbestos removal service in Sydney?	Where can I get proper asbestos removal services in Sydney?	1	1
2869	130271	130271	209099	209100	Where can I get best photo booth packages in Sydney?	Where can I get best photo booth hire in and around Sydney?	0	2
2886	131034	131034	210171	91889	Which is a good inpatient drug and alcohol rehab center near Camden County GA?	Which is a suitable inpatient drug and alcohol rehab center near Banks County GA?	0	2
2887	131038	131038	210178	210179	What effects does marijuana use have on the flu?	What effects does Marijuana use have on the common cold?	0	1
2898	131556	131556	210883	210884	Can I get fat by drinking one beer everyday?	Will I get fat if I drink one can of beer everyday?	1	2
2900	131664	131664	211024	211025	Can I consider LOR from my school teacher?	Can I take LOR from my school teacher?	0	3
2914	132517	132517	212170	105461	How big is the average penis?	What is the penis average size?	1	3
2925	132997	132997	24661	212834	What is a bad wheel bearing?	What does a bad wheel bearing sound like?	0	1
2929	133183	133183	213095	213096	Is carbonated water hydrating?	What is carbonated water?	0	3
2933	133416	133416	11328	19589	Which is a good inpatient drug and alcohol rehab center near Wheeler County GA?	Which is a good inpatient drug and alcohol rehab center near Lamar County GA?	0	2
2961	134383	134383	8546	80090	What are the early and common signs of pregnancy?	What are common early pregnancy symptoms or signs that make you feel you may be pregnant?	1	3
2969	134707	134707	215251	215252	Where can one find data on worldwide radio penetration by country?	How does one get a radio show?	0	2
2972	134912	134912	2995	23587	Where can I get best assistance in Sydney for any property purchasing?	Where can I get best services in property transactions across the Sydney?	1	2
2981	135398	135398	216233	216234	Which is a good inpatient drug and alcohol rehab center near Mitchell County IA?	What is a good inpatient drug and alcohol rehab center near Taylor County IA?	0	2
2985	135547	135547	216427	129549	How can evolution learn?	How does evolution work?	0	3
2987	135652	135652	216572	216573	What causes a thick yellow mucus discharge during pregnancy?	What causes a thick mucus discharge during pregnancy?	0	1
2996	135994	135994	217082	45763	What is a good inpatient drug and alcohol rehab center near Cleveland County AR?	What is a good inpatient drug and alcohol rehab center near Lawrence County AR?	0	2
2998	136020	136020	217115	217116	What compounds can oxygen and chlorine form?	What compounds can calcium and chlorine form?	0	3
3005	136258	136258	99990	217441	Which is a suitable inpatient drug and alcohol rehab center near Jackson County CO?	Which is a suitable inpatient drug and alcohol rehab center near Lincoln County CO?	0	2
3006	136275	136275	217465	217466	Where can I find public or free real-time or streaming data sources?	Which is the best real time data feed for amibroker?	0	2
3008	136307	136307	217507	217508	What are the difference between heat pump, heat engine and refrigerator?	What is the difference between a heat engine and heat pump?	0	3
3012	136446	136446	217709	217710	What is chronic fatigue syndrome?	How is Chronic Fatigue Syndrome treated?	0	3
3018	136614	136614	217924	217925	How does every single cell of our body get access to blood nutrients? Is every cell in direct contact with a capillary or is there a way nutrients can travel from blood to the cell without physical capillary-cell contact (as in neurons)?	How many white blood cells are there in a human body?	0	2
3019	136686	136686	198872	75150	Which is a suitable inpatient drug and alcohol rehab center near Scott County IA?	Which is a suitable inpatient drug and alcohol rehab center near Warren County IA?	0	2
3021	136699	136699	20289	52542	How do I get rid of my belly fat without doing any abdomen exercises?	How can I reduce my belly and hips fat without doing exercise?	1	2
3022	136778	136778	218150	218151	Is there heat transfer in vacuum?	Can heat transfer through a vacuum?	1	3
3038	137171	137171	45052	96291	How to gain weight ?	What is the best weight gain treatment for gaining weight?	1	3
3042	137325	137325	87763	218895	What is actually The American Dream?	Is the American Dream dead?	0	3
3046	137400	137400	219018	219019	What is white coal used for?	What is white coal?	0	1
3049	137584	137584	30690	130986	Which is a good inpatient drug and alcohol rehab center near Washington County GA?	Which is a good inpatient drug and alcohol rehab center near Lee County GA?	0	2
3061	137982	137982	219822	219823	What are some symptoms of a bad starter solenoid?	What are the symptoms of a bad starter solenoid?	1	1
3073	138304	138304	220259	220260	Can an average 11th standard science student get good marks in 12th CBSE?	Can an average 11th standard student get good marks in his 12th standard CBSE?	1	2
3077	138352	138352	220314	220315	Is a heavy cricket bat helpful while playing with tennis cricket bat?	Is a heavy cricket useful while playing with tennis cricket ball?	1	2
3080	138377	138377	220348	140991	What are the effects of adrenaline on heart rate?	What is the effect of acetylcholine on heart rate?	0	1
3087	138673	138673	26881	62003	Can you get pregnant 16 days after your period?	Can I get pregnant two days after my period ends?	1	3
3090	138854	138854	221028	221029	How can one reduce IgE level naturally?	How does one reduce the eosinophilis count levels?	0	1
3094	139115	139115	221365	221366	Can someone who has blocked my number see when I call them?	Can a blocked number see your missed calls?	1	1
3100	139381	139381	221730	221731	Can you trust Chinese mobile technology given China's existing human rights record?	Were the Chinese people Indians at one point, given that the human migration path to China seems to be via India?	0	3
3101	139398	139398	63424	221757	Does receiving oral sex count as losing my virginity?	Does oral sex count as sex?	0	1
3106	139559	139559	97305	221998	What elements melt at room temperature?	Which elements are liquid in room temperature?	1	2
3109	139625	139625	222081	222082	What role does heat play in the formation of convection currents?	Which one has the stronger convective heat transfer, air or water? Why?	0	2
3118	139936	139936	222468	222469	Can I use micro fibre mops on floating floors?	Can I use micro fibre mops on my floating floors?	1	3
3124	140271	140271	222936	222937	How can I watch the Hallmark Channel without cable?	How can you get cable channels without having cable?	0	3
3126	140321	140321	223006	223007	How does a penis get hard?	How does boys penis get hard?	0	1
3129	140516	140516	27553	223282	How can I develop reading habit?	How can I make reading a regular habit?	0	3
3130	140561	140561	223353	223354	Which is a good inpatient drug and alcohol rehab center in Lee County AR?	Which is a good inpatient drug and alcohol rehab center in Perry County AR?	0	2
3143	141644	141644	43591	5742	Can you get pregnant the day before your period starts?	How possible is it to get pregnant one day after my 3 day period?	1	3
3145	141764	141764	224966	224967	Does chronic stress, cause Anhedonia?	Does chronic stress cause Anhedonia?	1	1
3152	142022	142022	225326	99990	What is a suitable inpatient drug and alcohol rehab center near Fremont County CO?	Which is a suitable inpatient drug and alcohol rehab center near Jackson County CO?	0	2
3159	142305	142305	225711	225712	How are angle bisectors used in real life?	How are vertical angles used in real life?	0	1
3171	142858	142858	101683	226477	Where can I get best furniture removal or storage services in Central Coast?	Where can I get moving services in Central Coast?	1	2
3182	143296	143296	227057	227058	Can I work for part time in Teach for india?	Can we do Teach for india in part time?	1	1
3187	143345	143345	227122	227123	How far can the naked human eye see?	How far can human eyes see at night on the surface of Earth and Mars?	0	3
3188	143395	143395	227197	227198	How can you determine the solubility of silver sulfide?	How can you determine the solubility of copper hydroxide?	0	3
3206	144015	144015	6771	18858	Can any one suggest the best foods for gaining weight?	What is the best diet to gain weight?	1	3
3210	144207	144207	228293	91202	How is the chemical formula of hydrogen sulfide oxygen determined?	How is the chemical formula of hydrochloric sodium determined?	0	1
3214	144377	144377	160208	196096	Does first time sex pains a lot for a girl?	How do I make sex first time less painful?	1	1
3218	144580	144580	192408	91889	Which is a suitable inpatient drug and alcohol rehab center near Cook County GA?	Which is a suitable inpatient drug and alcohol rehab center near Banks County GA?	0	2
3237	145373	145373	229856	229857	Will drinking honey with hot water or eating raw garlic really help one to reduce weight?	How does honey warm water help losing weight?	0	3
3248	145850	145850	230535	230536	What does a constitutional body means?	What is constitutional body?	1	3
3254	146041	146041	230781	230782	Can luxury cars attract the right attention?	Can luxury cars attract the wrong attention?	0	1
3262	146345	146345	1932	21592	Do long distance relationships work?	Can long distance relationships work out?	1	3
3270	146675	146675	231638	144	What is borderline narcissistic personality disorder?	What is narcissistic personality disorder?	0	3
3271	146774	146774	227242	19589	What is a suitable inpatient drug and alcohol rehab center near Hart County GA?	Which is a good inpatient drug and alcohol rehab center near Lamar County GA?	0	2
3276	146996	146996	54748	232087	Is helium an element, mixture or a compound?	Is nitrogen an element compound or mixture?	0	3
3281	147087	147087	232201	5742	Can you still get pregnant one day before menstruation?	How possible is it to get pregnant one day after my 3 day period?	1	3
3289	147369	147369	232596	232597	Audiophiles: Does the audio cable make a difference in terms of sound quality?	How do I make a audio track sound like a real song?	0	1
3298	147860	147860	233262	214672	What colour of tie would go with a sky blue shirt and a milk colour suit?	What coloured tie should I wear with a dark grey suit and sky blue shirt?	0	1
3301	148073	148073	39360	123207	Which is a good inpatient drug and alcohol rehab center in Martin County KY?	Which is a good inpatient drug and alcohol rehab center in Johnson County KY?	0	2
3303	148139	148139	233645	233646	How does drinking warm cayenne pepper every morning help you lose weight?	How does cayenne pepper help with weight loss?	1	3
3304	148298	148298	233865	233866	What is best super power?	What is the best super power?	1	1
3311	148581	148581	234236	234237	What do doctors think about pain relief without surgery?	How can I relief pain from my cervical herniation and without do any surgery?	1	1
3323	149030	149030	234853	54275	Can anyone share review about Digital Vidya certification course?	Where can I do digital marketing certification courses for free?	0	3
3325	149229	149229	235118	217085	Can one lose lactose intolerance as an adult?	Is lactose intolerance curable?	1	3
3335	149607	149607	52883	120515	How does first time sex feel like?	What does first sex feel like?	1	1
3337	149818	149818	13062	235913	Which is a good inpatient drug and alcohol rehab center in Logan County IL?	Which is a good inpatient drug and alcohol rehab center in Logan County CO?	0	2
3349	150129	150129	30859	62004	Can i get pregnant the day after my period ends?	Can I fall pregnant after 3days of my period?	1	3
3365	151067	151067	194158	237617	Can eating sweet potatoes increase body weight?	Does eating sweet potatoes increase body weight?	1	3
3371	151305	151305	42484	44194	Can you still be pregnant with neg test and period?	Can one be pregnant after three days of period?	1	3
3399	152585	152585	239706	239707	What was Snow White's mother's name?	What's Snow White's name?	0	1
3403	152757	152757	239931	239932	What is Epsom salt?	Does Epsom salt really work?	0	3
3404	152788	152788	50552	196640	Can hamsters eat cucumber?	Can hamsters eat grapes?	1	3
3409	153043	153043	240327	240328	What's the difference between Ruffini's rule and Horner's method?	What is the difference between Ruffini's rule and Horner's method?	1	1
3412	153180	153180	52951	240511	Which is a suitable inpatient drug and alcohol rehab center near Jackson County AR?	Which is a suitable inpatient drug and alcohol rehab center near Izard County AR?	0	2
3413	153205	153205	173375	240540	Are dark matter and dark energy: energy?	Is dark matter matter and dark energy energy? Since matter can convert to energy, are both dark matter and dark energy considered a form of energy?	1	2
3418	153520	153520	240959	240960	How much profit does a gas station make from a gallon of gas?	Do gas station owners make profit off the coin operated air compressors?	0	3
3427	153632	153632	287	241111	Does a black hole have mass?	How does a black hole have so much gravity?	0	1
3433	154173	154173	241844	241845	How many calories do we burn a day?	How many calories do you burn by standing?	0	3
3434	154178	154178	241850	241851	What is a suitable inpatient drug and alcohol rehab center near Scott County AR?	What is a suitable inpatient drug and alcohol rehab center near Dallas County AR?	0	2
3437	154203	154203	241882	241883	Where can I get affordable domestic pest control and termite control services in Randwick?	Where can I get very affordable animal pest control services in Randwick?	1	2
3438	154451	154451	242208	242209	What causes a white liquid discharge during pregnancy?	What causes a white jelly discharge during pregnancy?	1	1
3440	154522	154522	242300	242301	Employee Screening: When you drink water excessively, is your first urination diluted? 	How much water do I need to drink to dilute a urine analysis?	0	3
3449	155069	155069	168928	44071	Which is a good inpatient drug and alcohol rehab center near Richmond County NC?	What is a good inpatient drug and alcohol rehab center near Union County NC?	0	2
3467	155811	155811	164736	244015	Where can I get best assistance for the removal of furniture in Central Coast?	Where can I get furniture removal services in Central Coast?	1	2
3473	156171	156171	122235	244469	How did you learn graphic design?	How can I learn graphic design?	1	3
3484	156515	156515	244947	244948	Is burning of candle a chemical change or a physical change?	Is dying a physical change or a chemical change? Why?	0	1
3502	157588	157588	246376	246377	What is the average penis length?	What is the normal penis length?	1	3
3503	157612	157612	246399	246400	What is the total energy produced in protein metabolism showing equations?	Can sound energy be produced by light energy?	0	2
3515	158070	158070	161393	164090	How can apple cider vinegar lower blood pressure?	Which natural foods can lower blood pressure and thin blood as opposed to drugs such as aspirin?	0	2
3522	158720	158720	247905	247906	Is light a transverse wave?	How light is a transverse wave?	0	3
3524	158765	158765	247969	247970	Can eye color changing subliminals or sound frequencies work while your asleep?	Can sound frequencies change your eye color?	1	3
3525	158792	158792	248007	52542	Without jogging how can I reduce my belly fat?	How can I reduce my belly and hips fat without doing exercise?	0	2
3527	158849	158849	248083	248084	How do you read your mobile signal strength?	How do you read mobile signal strength?	1	3
3530	158951	158951	248218	248219	What is a FRCP medical degree?	What is a FACP medical degree?	0	1
3532	159013	159013	248301	248302	How does a plasma screen work?	How plasma monitor work?	1	3
3539	159326	159326	201731	248733	Louisiana–Monroe Football Live Stream | Watch Louisiana–Monroe Warhawks Football Game Today Live Streaming Online?	Central Connecticut Football Live Stream | Watch Central Connecticut Blue Football Game Today Live Streaming Online?	0	1
3544	159492	159492	248974	135408	What is active region in transistor?	What is saturation & active region in a transistor?	0	3
3545	159540	159540	46330	37046	How will long distance relationship work?	Can a long distance relationship still exist? How can you make it work?	1	3
3554	160067	160067	249737	249738	Can you read my palm?	Can you read palms?	1	3
3558	160314	160314	250065	250066	How do you determine the molecular formula of phosphorus?	How can you determine the molecular formula for phosphorus?	1	3
3563	160431	160431	250207	96925	What are complex data structures?	What are data structures?	0	1
3569	160916	160916	250872	64431	What is dark matter and dark energy in simple words?	What is dark energy?	0	2
3575	161091	161091	26881	65964	Can you get pregnant 16 days after your period?	Can you get pregnant a couple days before your period?	1	3
3576	161109	161109	251123	251124	What does cereal and coconut milk taste like?	What does hemp milk taste like?	0	1
3579	161127	161127	21397	103648	What are the best websites to watch dubbed anime?	Where can I watch English dubbed anime free?	1	3
3582	161415	161415	104205	251544	Are there luxury tours to Everest Base Camp?	How difficult is Everest Base Camp?	0	3
3588	161717	161717	251910	251911	Can I lose weight while fasting?	Can I lose weight by fasting?	1	2
3594	161994	161994	101282	67089	Where is the best place to live in india?	Which is the best place to live in India?	1	2
3604	162413	162413	252839	252840	What is selective pressure?	What is selection pressure?	1	3
3609	162707	162707	253253	253254	Can laser skin tightening cause fat loss on your body?	Can laser skin tightening cause fat loss on the face?	0	3
3620	163121	163121	236123	18694	How can open new cell tower over land in India?	What is the procedure to get a mobile signal tower constructed on my barren land in India?	1	1
3624	163344	163344	254095	225326	What is a suitable inpatient drug and alcohol rehab center near Montrose County CO?	What is a suitable inpatient drug and alcohol rehab center near Fremont County CO?	0	2
3631	163645	163645	254498	184866	What's a good free iOS screen recording system?	What are the best free screen recording softwares for iOS?	1	3
3632	163655	163655	254505	27008	What is aluminum nitrate used for?	What is chromium nitrate used for?	0	1
3636	163864	163864	254771	254772	Where can I get information of manufacturing process of thermic fluid?	Where can I find information on manufacturing process of thermic fluid?	1	2
3646	164211	164211	255211	255212	What happens when ammonium chloride reacts with potassium hydroxide?	What happens when ammonium chloride reacts with sodium hydroxide?	0	3
3656	164596	164596	255721	255722	How many colors can humans see?	Vision (eyesight): How many colors can the human eye detect?	1	3
3677	165729	165729	34654	111727	How does sex feel like for the first time?	What is like having sex for the first time?	1	1
3678	165730	165730	257292	257293	Where can I get high quality commercial pressure washing in Australia?	Where can I get best commercial pressure washing services in Australia?	1	2
3680	165746	165746	257316	257317	Can all modern flat panel TVs be wall mounted?	What is the best way to wall mount a flat panel TV?	0	3
3685	165925	165925	25072	91889	Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?	Which is a suitable inpatient drug and alcohol rehab center near Banks County GA?	0	2
3688	165962	165962	224826	244948	Is wood decomposing a physical change or chemical change?	Is dying a physical change or a chemical change? Why?	0	1
3690	165987	165987	196675	257650	Is there a limit to a human brain's storage capacity?	What is human brain's storage capacity?	1	1
3692	166134	166134	257852	74971	Is one a prime number?	Is one a composite or prime number?	1	1
3696	166231	166231	257984	257985	What is the mechanism of synthesis from maleic anhydride and urea?	What is the mechanism of phthalimide synthesis from phthalic anhydride and urea?	0	3
3698	166296	166296	73799	202813	Can you get a second hand high from someone vaping weed?	Can you get a second hand high from someone smoking weed outside?	1	3
3726	167640	167640	259867	259868	Are there any female red coders in the world?	Where can I watch one of the world's top coders code?	0	1
3729	167893	167893	16302	260176	Dark Web: How can you access the deep web on a mobile phone?	How can I access deep web?	0	3
3730	167919	167919	260209	260210	Which is a good inpatient drug and alcohol rehab center near Madison County IN?	Which is a good inpatient drug and alcohol rehab center near Madison County GA?	0	2
3731	167935	167935	260231	260232	Can you work under pressure?	Do you work well under pressure?	1	3
3739	168308	168308	260750	9579	Can cure cancer?	Can piperlongumine cure cancer?	0	2
3742	168430	168430	260904	260905	If I like statistics would I like studying data science?	Should I study data science?	0	1
3747	168702	168702	261247	261248	Does energy have mass?	Does potential energy have mass?	0	1
3756	169015	169015	261665	261666	What is the best way to substitute regular sugar for powdered sugar in a recipe?	How can you substitute sugar for powdered sugar in a recipe?	0	3
3761	169250	169250	261972	261973	Can emotional stress cause a miscarriage?	Can castor oil cause miscarriage?	0	3
3762	169266	169266	261993	261994	Can any other acid be used in lead acid battery other than sulphuric acid?	How much current should be used when load testing a lead-acid battery?	0	1
3765	169370	169370	86944	93773	Where can I watch one punch man with English dubbing?	Can One Punch Man defeat Sailor Moon?	0	2
3773	169684	169684	15650	262519	Couldn't we lose weight just by drinking ice cold water?	Can I lose weight by not eating but just drinking water?	1	2
3779	169962	169962	57391	28715	How do I learn photographic memory?	What is the best method to develop photographic memory?	1	3
