	id	qid1	qid2	question1	question2	is_duplicate
59920	59920	104881	94770	Which is the best book of bridge design?	What are the best book for bridge design?	1
60016	60016	105039	35240	Does hydrochloric acid (HCl) react with copper (Cu)?	What is the reaction between zinc and hydrochloric acid?	0
60020	60020	105045	105046	Is blood pressure 160/100 very high?	Can cold and blocked nose result in high blood pressure? I am 23 yrs old and my bp recording for the past two days is 100/150.	0
60155	60155	105256	105257	Are Bangladeshis ethnically part of Indian race or different?	Are All Bangladeshis Ethnically Mixed Through Ancestry?	0
60171	60171	105280	18531	How do I lose belly fat without doing exercise?	What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?	0
60186	60186	105301	105302	When will the black money comes back to India?	How do I get black money back to india?	1
60294	60294	18317	57185	Is Red Bull energy drink made by bull sperm?	Does red bull energy drink have bull sperm in it?	1
60375	60375	105590	105591	Which musical instrument can I learn to play in one month?	Which musical instrument can I learn to play within one month?	0
60376	60376	105592	105593	Which chicken fast food place has the best fried chicken?	What is your favorite fast food chicken place?	1
60384	60384	48709	105606	What is the difference between distilled water and purified water?	Is distilled water the same as purified water?	1
60436	60436	105687	94970	Is hair loss due to thyroid permanent?	Does gel cause hair loss?	0
60463	60463	105725	105726	What causes my first period to draw brown blood?	Why is the very first period a brown discharge?	1
60487	60487	105767	105768	Can you work in Canada if you have U.S. green card?	Can a Russian citizen with a U.S. Permanent Resident status (green card) live and work in Canada?	0
60625	60625	105995	105996	How can the boiling point of carboxylic acid be determined?	How is the boiling point for carboxylic acid determined?	1
60703	60703	9191	106120	Where can I get best fire protection services in Sydney?	Where can I get best fire protection solutions in Sydney?	0
60735	60735	106169	106170	Can man live forever?	Can people live forever?	1
60748	60748	106188	106189	How are the boiling points of compounds determined?	How is the highest boiling point of organic compounds determined?	0
60947	60947	106503	106504	Human Physiology: What concentration of salt water will induce vomiting?	What is physiology of fluid in human body?	0
61006	61006	106594	106595	Can shrimp consumption cause high blood pressure?	Can excessive caffeine consumption cause high blood pressure?	0
61115	61115	106762	106763	What color shirt and tie can I pair with a charcoal brown suit?	What color tie should I wear with a charcoal suit?	0
61150	61150	106819	106820	What is the Linnaean system of classification used for?	How is the Linnaean system of classification used?	1
61154	61154	9154	106825	Why is Saudi Arabia lowering the price of crude oil?	What is crude oil spot price?	0
61166	61166	71020	65018	How do I learn machine learning?	How do I learn statistics and probability for machine learning?	0
61182	61182	106870	106871	Where can I watch pretty little liars free without needing a credit card?	Where can I watch Pretty Little Liars for free?	0
61200	61200	106896	106897	Do u like flowers?	Define basic psychology?	0
61223	61223	8570	85604	Who is the best prime minister of India?	Who is the best prime minister India has ever got?	1
61241	61241	106961	106962	What can cause a white curdy discharge?	What causes a curdy white discharge?	1
61329	61329	29056	87933	How do I reduce the thigh thickness and hip thickness?	What can be done to reduce thigh and hip fat in men?	1
61340	61340	107118	96009	What is a suitable inpatient drug and alcohol rehab center near Williamson County IL?	What is a suitable inpatient drug and alcohol rehab center near Will County IL?	0
61395	61395	34423	107199	Should power bank be charged full night for the first time?	How long to charge power bank first time?	0
61487	61487	26881	7252	Can you get pregnant 16 days after your period?	Can you get pregnant 8 days before your period?	1
61520	61520	107382	107383	How can I get HDFC bank telephone identification number?	How do I change a registered mobile number in HDFC bank?	0
61525	61525	31022	107392	Can methylphenidate cause a urine test to show positive for amphetamine?	Can Adderall cause a Urine Test to show positive for methamphetamine?	0
61526	61526	107393	107394	What is radiant energy?	Where can you get radiant energy?	0
61527	61527	107395	107396	How can the first ionization energy of hydrogen be determined?	How can the ionization energy of hydrogen be determined?	0
61643	61643	28569	107582	Cold World War 3 has began?	Will the Cold War come again?	1
61648	61648	107590	70110	Which is the best digital media course in India?	Which is the best digital marketing course in india?	1
61675	61675	107629	107630	Can an enzyme catalyze both forward and backward reactions?	Do enzymes catalyze endergonic reactions?	0
61725	61725	107709	107710	Where could I get the daily data of Dow-Jones volume from 1920?	What is the fee for daily end of day FX spot data from Bloomberg?	0
61733	61733	107723	107724	How much did Product Hunt get acquired for?	How much did AngelList acquire Product Hunt for?	1
61734	61734	9191	107725	Where can I get best fire protection services in Sydney?	Where can I get very easy & safe fire protection service in Sydney?	0
61742	61742	107740	107741	What solvents dissolve super glue from skin?	How do you get Super Glue off your skin?	0
62051	62051	108227	108228	Are there free software programs for value investing analysis?	Can trend analysis coexist with value investing?	0
62132	62132	108357	108358	Why does coffee make me sleepy instead of active?	Can caffeine make you sleepy?	0
62173	62173	35853	108418	What are the differences between white wine vinegar and white distilled vinegar?	How are white vinegar and white wine vinegar different?	1
62229	62229	108499	108500	Are there any virginity tests?	What are virginity tests?	0
62242	62242	108520	108521	What does a typical day look like in a 30-day inpatient drug rehab?	Drug Rehabilitation: What is it like to attend rehab?	0
62244	62244	108524	19140	How is the equilibrium partial pressure of CO2 calculated?	How is the partial pressure of CO2 in the atmosphere determined?	0
62279	62279	108576	108577	Is using natural soap bad for your scalp? Can it cause hair loss indirectly or directly?	Can washing the hair with soap cause hair loss?	0
62365	62365	108711	108712	Can I male human get a dog pregnant?	Can a human get a dog pregnant?	1
62379	62379	108734	108735	How do you cure premature ejaculation?	How do I stop premature ejaculation?	1
62396	62396	108763	108764	Which is the best cream for jock itch?	How should I use itch gaurd for jock itch?	0
62452	62452	70481	67978	How many bones are there in Shark fish?	How many bones are in a shark's body?	1
62463	62463	108865	108866	Who can build the best website for eye clinics?	Who builds the best websites for eye doctors?	0
62542	62542	108988	108989	How can the chemical equation for protein be determined?	How is the chemical equation for starch determined?	0
62614	62614	109097	109098	Where can I get best corporate horse riding programs in Melbourne?	Where can I get best horse riding deals in Melbourne?	0
62704	62704	22573	109247	How is corn meal the same as corn flour?	How do corn flour and corn meal differ?	0
62785	62785	109364	109365	How much mustard could relieve leg cramps?	Does mustard relieve leg cramps?	0
62921	62921	109573	109574	What is the best graduate school for an industrial design degree?	What is the best undergraduate school for an industrial design degree?	0
62932	62932	109594	109595	What's the best method to lucid dreaming?	What is the best lucid dream technique?	1
62947	62947	109621	109622	Can centrifugal force balance out gravity?	Why does the centrifugal force reduce the effect of gravity?	0
62983	62983	41944	109678	How long should I wait to smoke after a wisdom tooth extraction?	What causes weird taste coming from wisdom tooth extraction?	0
63123	63123	109904	109905	How do I get rid of dark patches on my chin and either side of nose?	How do you get rid of dark bikini areas & dark armpits?	0
63275	63275	42463	110150	What is the best treatment for sexual impotence?	Which is the best medication for male impotence?	1
63307	63307	110199	110200	Can radio waves of THz frequencies (close to infrared) pass through rock/soil/metal/walls?	Can radio waves of THz frequencies (close to infrared light) pass through rock/soil/metal/walls?	1
63326	63326	107582	86853	Will the Cold War come again?	Is the Cold War coming back?	1
63468	63468	110452	110453	Where are linked lists used in real life?	What is an application of linear linked list data structures?	0
63595	63595	110643	98771	What is the difference between population deviation and population standard deviation?	What is the difference between variance and standard deviation?	0
63602	63602	110654	69602	Savannah State Football Live Stream | Watch Savannah State Tigers Football Game Today Live Streaming Online?	Idaho State Football Live Stream | Watch Idaho State State Bengals Football Game Today Live Streaming Online?	0
63606	63606	110661	110662	Can Cayenne pepper prevent a heart attack or stroke as claimed?	Can Cayenne pepper prevent a heart attack or stroke as claimed by people?	1
63612	63612	110668	110669	Should the Middle East be grouped with East Asia as the continent of Asia, or not?	Is Iran a part of the Middle East or Central Asia?	0
63724	63724	110837	110838	How National Stock Exchange can list itself?	Can a stock exchange be listed in another stock exchange?	0
63735	63735	110856	110857	Do men like giving oral sex to women?	Do men like to give women oral sex?	1
63750	63750	110883	110884	What are chocolate chip cookies without chocolate chips?	Can I use cane sugar instead of brown sugar in a chocolate chip cookie recipe?	0
63756	63756	110892	110893	Is optometry school as hard as medical school?	How hard is medical school and getting into medical school?	0
63792	63792	110952	110953	How do I get rid of dark spots using ayurvedic?	How can I get rid of dark spots?	0
63817	63817	110990	110991	Where can we find about emotional support animal letter?	Where can you get an emotional support animal certification?	1
63869	63869	40675	111076	Why shunt resistance decreased by increasing Copper percentage in quantum dot sensitized solar cell?	Why is the open circuit voltage of organic solar cell not determined by the difference in work function of electrodes?	0
63906	63906	88178	64999	What can rest of the world learn from India?	What should rest of the world learn from India?	1
64002	64002	75900	68226	Does the entire brain pick up on any changes in neural activity by means of reading any change to the EM field caused by a localized activity?	Does the entire brain pick up on any changes in neural activity by means of reading the change to the EM field caused by a localized activity?	1
64055	64055	111366	111367	Which is the best protein powder for gain muscle mass?	What is one of the best protein powder for gaining muscle and weight?	1
64129	64129	111493	111494	Where can I find good quality hash in delhi?	Where can I get good hash in Delhi?	1
64178	64178	111573	111574	How can you determine the specific gravity of concrete?	How do you determine the specific gravity of concrete?	1
64209	64209	111615	67690	Can I get my adderral filled early?	Can I glue a tooth filling back into my mouth?	0
64277	64277	111712	111713	Can mental illness cause physical illness?	Can mental illness lead to physical illness?	1
64320	64320	111785	111786	How was world wide web (www) created?	Who created the world wide web (WWW)?	1
64348	64348	111836	46609	Can a bound morpheme in English contain more than one syllable?	Can a bound morpheme be more than one syllable in length?	1
64357	64357	111848	111849	Where can I get best fire inspection services in Sydney?	Where can I get best property inspection services in Sydney?	0
64388	64388	111899	111900	What type of electromagnetic wave has the highest frequency?	Is there any maximum frequency of electromagnetic waves?	0
64426	64426	111959	111960	Where can you find bird control service in Sydney?	Where can I find best rat control service in Sydney?	0
64451	64451	112004	112005	What is the difference between classical and quantum physics?	How is quantum physics different from classical physics?	1
64476	64476	3600	43080	What is it like working at Goldman Sachs?	What's its like working at Goldman Sachs?	1
64545	64545	112150	23574	How can someone make suicide look like an accident?	How do I make suicide look like an accident?	1
64601	64601	112231	112232	Why is swamping resistance used in moving coil instruments?	What is use of choke coil across fluorescent lamp?	0
64664	64664	11773	74390	What is Convolutional neural network?	What can convolutional neural network do?	0
64720	64720	112416	112417	Why are white genes recessive?	What are recessive genes?	0
64753	64753	112474	112475	Which is a good inpatient drug and alcohol rehab center near Washington County AR?	Which is a good inpatient drug and alcohol rehab center near Little River County AR?	0
64762	64762	112489	112490	What does it mean marginal cost at short run and long run?	What is a long and short run curve in simple terms?	0
64789	64789	112535	112536	Can I watch Star Plus online free on YouTube?	Can I watch Star Plus online for free?	0
64840	64840	112614	112615	Why do so many foreigners like to eat Chinese hot pot?	What is hot pot?	0
64875	64875	101683	112665	Where can I get best furniture removal or storage services in Central Coast?	Where can I get most reliable moving services in Central Coast?	1
65015	65015	112893	112894	How/when does quantum mechanics become classical mechanics?	What theory explains quantum mechanics?	0
65018	65018	112899	112900	Does massage really increase breast size?	Does breast massaging with olive oil increase breast size?	1
65189	65189	113170	113171	Can kinetic friction and static friction coexist?	Why is kinetic friction less than static friction or limiting friction?	0
65204	65204	113194	11327	Which is a suitable inpatient drug and alcohol rehab center near Meriwether County GA?	Which is a suitable inpatient drug and alcohol rehab center near Clayton County GA?	0
65235	65235	113242	113243	Why does too much food make you fat?	Does eating fat actually make you fat?	0
65256	65256	113279	113280	What is the exact position of the hydrogen atom in the periodic table?	What is the exact gravity of a hydrogen atom? How is gravity of an atom of a specific element determined?	0
65265	65265	113294	113295	How can you determine the chemical equation for plastic?	How is the chemical equation for coal determined?	0
65294	65294	113339	113340	What's the differences between information design interaction design and communication design?	What is the difference between information design and interaction design?	0
65306	65306	113360	113361	Why is the fluorination of benzene highly exothermic whereas iodination is endothermic?	Is benzene soluble in water?	0
65357	65357	113447	68981	Which is a good inpatient drug and alcohol rehab center in Alexander County IL?	Which is a good inpatient drug and alcohol rehab center in Clark County IL?	0
65491	65491	113651	113652	Is green tea good for acne?	Does green tea get rid of acne?	1
65526	65526	71142	79824	Saying that zero point energy is infinite and that there are infinite potential virtual particles in vacuum is real or a mathematical thing?	Saying that there's infinite energy in zero point energy and infinite virtual particles in vacuum energy, is this a real or just a mathematical thing?	1
65549	65549	90081	113743	What are the health benefits of drinking honey lemon water?	What are advantages of drinking warm water with lemon and honey in the morning?	1
65564	65564	113761	113762	How much law of attraction works?	How does law of attraction work with fate?	1
65609	65609	113828	113829	I get 60000 rank in neet.which private medical college will I get?	What is henry vii daughter mary?	0
65704	65704	113989	113990	Is data recovery possible on Time Machine drive in Mac?	Is data recovery possible on Time Machine drive in Mac OS X?	0
65776	65776	114101	114102	How is the second ionization energy of lithium determined?	How is the second ionization energy of oxygen determined?	0
65782	65782	114111	114112	How can you determine the Lewis structure for formaldehyde?	How is the Lewis structure for cyanide determined?	0
65785	65785	83501	114116	How does orange juice help relieve a sore throat?	How does lemon juice help relief a sore throat?	0
66036	66036	52800	114516	How long does ketamine stay in your system?	How long does morphine stay in your system?	0
66037	66037	114517	114518	Does swimming affect an ongoing anti hair fall treatment?	How can I check for microbial load in meat pie?	0
66068	66068	114570	114571	What is the application of full wave rectifier?	What is full wave rectifier?	0
66084	66084	114599	114600	What are the ingredients in plain cement concrete and sand cement mixing ratio?	What are the ingredients in plain cement concrete and sand cement ration?	1
66182	66182	114756	114757	Are white women open to dating black men in America?	Do a lot of white American women date black men?	1
66217	66217	114805	114806	Which is the stronger acid propionic acid, acetic acid or formic acid?	Why is benzoic acid stronger than acetic acid but weaker than formic acid?	0
66252	66252	28348	114859	What is the difference between synchronous and asynchronous data transfer?	What is the difference between an induction motor and a synchronous motor?	0
66299	66299	114934	114935	How do gear pump work?	How does a fluid pump work?	0
66300	66300	114936	114937	Can acrylic paints be used on acetate?	How do I use acrylic paint on plastic?	0
66329	66329	114982	114983	Can a CO2 tank be filled with compressed air? If so, how?	Can a CO2 tank be filled with compressed air?	1
66366	66366	64590	115042	Does time end?	When does time end?	0
66403	66403	38252	30949	Heavy hair falling, what should do to stop hair fall?	What is the best treatment for hair loss?	0
66454	66454	115179	88920	What are the best methods to relieve stress?	Which are the best possible methods of stress relief?	1
66475	66475	115212	115213	What is a suitable inpatient drug and alcohol rehab center near Dallas County IA?	What is a suitable inpatient drug and alcohol rehab center near Lyon County IA?	0
66633	66633	115463	115464	How do I treat sleep apnea without CPAP mask?	How do I alleviate sleep apnea tonight without using a CPAP mask?	1
66824	66824	2310	115754	Do women like men who wear cock rings?	Do cock rings give men multiple orgasms?	0
66869	66869	115816	115817	Can alcohol cause a stroke?	Does alcohol cause strokes?	1
66910	66910	115880	115881	How is the chemical formula of silver phosphate determined?	How can you determine the chemical formula of silver and zinc cholide?	0
66922	66922	115901	115902	How do I make cream cheese?	What's the best recipe to make your own cream cheese?	1
66954	66954	115956	115957	What would you prefer, hot water bath in winter or normal water bath in summer?	"What does legal term ""acting unreasonably"" mean?"	0
67054	67054	116107	116108	How can you determine the chemical formula for zinc copper sulfate?	How is the chemical formula of zinc determined?	0
67161	67161	116279	11820	Should I start learning web development?	How can I learn web development?	1
67184	67184	116319	116320	Why do fish sleep?	When do fish sleep?	0
67296	67296	116494	17192	Sex: How are anal and vaginal sex different?	How does anal sex feel compared to vaginal sex?	1
67335	67335	116548	116549	How do you get rid of ADD (attention deficit disorder)?	How can I get rid of Attention deficit disorder?	1
67425	67425	116685	116686	Can I get 36 raw score in GMAT verbal with 27 right answers?	Where do I get free videos for GMAT verbal?	0
67490	67490	116785	116786	What's the 'death by cost' anti growth hacking pattern?	What's the 'death by fat' anti growth hacking pattern?	0
67620	67620	116994	116995	How many calories should you burn in a day?	How many calories do I burn daily?	1
67649	67649	117042	117043	What's the difference between a hash table and a hash set?	What is the difference between Hash map, Hash tree and Hash table?	0
67679	67679	117085	117086	Where can I watch walking dead season 7 episode 2 online?	Where can I watch the walking dead season 7 episode 1 online?	0
67693	67693	117105	117106	What is the best medicine for erectile dysfunction?	How do I get rid of Erectile Dysfunction?	1
67704	67704	117123	117124	What is pupil dilation?	Can pupils be dilated at will?	0
67723	67723	117157	117158	Does life matter?	Does my life matter?	0
67784	67784	117250	72155	What is critical in critical thinking?	Can you criticize critical thinking?	0
67794	67794	117268	117269	Data Visualization: What is the best color range to use for a heat map?	Data Visualization: What algorithm is used to scale a map such that each region has size proportional to its population?	0
67808	67808	108988	117291	How can the chemical equation for protein be determined?	How do you determine the chemical equation for the fermentation of glucose?	0
67833	67833	117329	117330	Does diluting coffee affect the caffeine intake per drink?	To drink caffeine, or to not drink caffeine?	0
67957	67957	117528	117529	How many of you like Heavy Metal?	Why don't most people like heavy metal music?	0
67994	67994	117581	117582	Which is the best value added course for electrical and electronics engineering?	Which is the best value added course for electronics and communication engineering?	0
68006	68006	117599	117600	What is congestive heart failure?	How fatal is congestive heart failure?	0
68011	68011	117606	117607	What is the best therapy for dyshidrotic eczema?	Who is the best therapy for eczema?	0
68025	68025	117624	3130	Does being dehydrated lower blood pressure?	How much excercise to lower blood pressure?	0
68121	68121	7792	117783	Are there any supplements out there that actually burn belly fat and lower body fat?	Which herb or spice can actually burn body fat fast?	1
68169	68169	117853	117854	How does human blood taste?	Why does blood taste metallic?	0
68240	68240	17944	117962	Is hypnotism real?	Does hypnotism work?	1
68274	68274	66331	118015	Is sand and water a homogeneous mixture?	Is water a compound element or mixture?	0
68330	68330	118104	118105	Should a male shave pubic hair?	Why men shave their pubic hairs?	1
68332	68332	118107	118108	What Chinese technology is used in America?	How many years does Chinese space technology fall behind the American space technology?	0
68337	68337	118115	118116	What is longitudinal waves?	Electrostatic waves are longitudinal waves or transverse waves?	0
68423	68423	118251	118252	Is Indian Army the Best in the World?	Is the Indian army the best in the world?	1
68517	68517	118389	118390	What are the risks of opening a healthy fast food restaurant?	Why does no one open a healthy fast food restaurant chain?	1
68540	68540	24077	118424	What is the reaction between sulfuric acid and sodium hydroxide?	Does the adding of sodium hydroxide to the acid solution make the pH higher or lower?	0
68561	68561	118460	118461	How will the human species evolve?	How does human species evolve?	1
68591	68591	118500	118501	Where can I watch The Flash season 3 online?	Where can I watch The Flash season 1, episode 21?	0
68671	68671	118633	118634	Can a PCB student get admission in IISc?	Can a PCB student get admission into IISc?	1
68687	68687	34997	118660	What are the symptoms of high SGPT levels?	What are symptoms of high testosterone?	0
68716	68716	118702	118703	Is borderline personality disorder also a character disorder?	What is borderline personality disorder?	0
68773	68773	118798	71020	Which is best book for machine learning?	How do I learn machine learning?	0
68919	68919	119008	119009	What is the difference between tissue paper and art tissue paper ?	Why is tissue paper called tissue paper?	0
68941	68941	119044	119045	Red light area in Delhi?	Where are Red light areas in India?	0
68983	68983	119103	119104	Can I pass a urine test after only smoking one joint?	How many days after consuming marijuana can you pass a urine drug test?	1
69034	69034	119188	119189	What does a cockroach infestation smell like? Why does it smell like that?	What does a cockroach infestation smell like?	0
69068	69068	119239	119240	What does Gestalt Psychology focus on?	What is psychological androgyny?	0
69353	69353	119685	119686	How do you beat a lie detector test?	How can you pass a lie detector test by lying?	1
69452	69452	107590	119845	Which is the best digital media course in India?	Where is the best online digital marketing course?	1
69465	69465	119866	119867	Do tonsils cause bad breathe?	Do cavities cause bad breath?	0
69599	69599	120078	120079	Are stem-cell treatments safe?	Is stem cell treatment effective?	0
69711	69711	68226	120252	Does the entire brain pick up on any changes in neural activity by means of reading the change to the EM field caused by a localized activity?	Is it that the whole brain pick up on any changes in neural activity by means of reading any changes to the EM field caused by a localized activity?	1
69731	69731	120285	120286	How do I stop grey hair?	How do I dye starting grey hair?	1
69747	69747	120310	120311	What is the difference between Black hat SEO and Grey hat SEO?	What's the difference between black hat SEO and white hat SEO?	0
69750	69750	120314	120315	Are electromagnetic waves and sound waves related?	Can electromagnetic waves be reflected?	0
69848	69848	120478	120479	Are there foods that successfully block DHT to reduce hair fall? Which ones?	What are some products that can increase hair growth and block DHT?	0
69858	69858	120497	120498	How can I get rid of the visible pores on my nose?	How do you get rid of visible pores on your nose?	1
69938	69938	44623	21689	What causes sleep paralysis?	How do you cause sleep paralysis?	1
69949	69949	120641	120642	What is the correct blood sugar level?	What are the normal blood sugar levels?	0
69980	69980	120692	120693	What is the full name of the reagent named DEAD in organic chemistry?	What is the dead reagent in organic chemistry?	1
69986	69986	115707	120703	Is the Earth flat?	The Earth .. sphere or straight?	1
70007	70007	120739	120740	Where can I get flexible horse fence solution in Sydney?	Where can I found very flexible horse fence system across the Sydney?	1
70016	70016	120756	120757	Where does Google Maps get its traffic data from?	How does Google get live traffic data in India?	0
70049	70049	120800	120801	UCF Football Live Stream | Watch UCF Knights Football Game Today Live Streaming Online?	Purdue Football Live Stream | Watch Purdue Boilermakers Football Game Today Live Streaming Online?	0
70068	70068	120831	120832	Why does moist air cool at a slower rate than dry air?	Why does humid air cool down more slowly than dry air?	1
70075	70075	120840	120841	What is the cost of an average call center call in Malaysia?	Benefits That You Can Make Out From One Of Our warehousing Facility?	0
70081	70081	120850	120851	Who discovered calories? What system did they use to measure how many calories are in foods? And how do they affect our bodies?	Are the number of calories in food an appropriate measure of the amount of energy provided to the human body?	0
70267	70267	13680	42529	What does semen taste like?	What do sperm taste like?	1
70276	70276	121158	121159	How does laser hair removal affect tattoos?	Does laser hair removal hurt?	0
70292	70292	40441	3487	Where can I find the best quality cupcakes in Gold Coast?	Where can I get an unique taste for cupcakes in Gold Coast?	1
70412	70412	121368	121369	Why does the penis get erect?	Why do men get erect?	1
70470	70470	121452	121453	Can my digital signature be misused?	Are sweat glands parasympathetic? Why or why not?	0
70499	70499	121490	121491	What is best orientation of stirrup in deep beam?	What is the best orientation of stirrup in deep beam.?	1
70598	70598	121628	121629	Can we get a second hand car in EMI?	How can I get a second hand car in EMI?	1
70636	70636	121684	121685	Can I drink water after taking cough syrup?	Why does cough syrup make you feel drowsy?	0
70785	70785	121920	121684	Can an old monk rum sip in hot water every morning work for curing the throat and cough?	Can I drink water after taking cough syrup?	0
70817	70817	121975	121976	Which laparoscopic training institute is best for learning laparoscopic surgery where I get get real Hands On practice?	Is eternal life real?	0
70891	70891	122094	122095	What is a good inpatient drug and alcohol rehab center near Alachua County FL?	What is a good inpatient drug and alcohol rehab center near Washington County FL?	0
70914	70914	122130	122131	How does Cotton Hill die?	How did Cotton Hill die?	1
70924	70924	122145	122146	How much would cost to build an atomic bomb from scratch?	How much atom bombs in India?	0
71006	71006	122267	122268	Why is heavy water?	What is heavy water?	0
71050	71050	122334	34997	What do high monocytes levels mean in a lab test?	What are the symptoms of high SGPT levels?	0
71115	71115	20431	62003	Can I get pregnant a week after my cycle?	Can I get pregnant two days after my period ends?	1
71123	71123	122447	122448	What's the differences between sublimation paper and heat transfer paper?	Which is best heat transfer paper for long durability?	0
71132	71132	122463	122464	How many types of hard disk?	How many types of hard disks?	1
71201	71201	122570	122571	What is stannic hydroxide?	How does HCl and sodium hydroxide react?	0
71208	71208	122582	122583	Why is rubber incompressible?	Does rubber conduct electricity?	0
71343	71343	5778	122780	Which is a good inpatient drug and alcohol rehab center in Douglas County IL?	Which is a good inpatient drug and alcohol rehab center in Douglas County CO?	0
71346	71346	122785	122786	Can you dye your hair purple without bleaching it first?	How do I color hair without bleaching it?	0
71379	71379	122844	122845	What does pure H2O taste like?	What does water taste like?	1
71458	71458	122968	122969	Who is the best international bowler?	Who is best fast bowler in today cricket?	0
71460	71460	122972	122973	Can magnets work in space?	Do magnets work in outer space?	0
71480	71480	570	122997	Where can I buy best quality customized cupcakes in Gold Coast?	Where can I get great range of flavours for cupcakes at Gold Coast?	1
71553	71553	123107	123108	Is it pretentious to like classical music without any musical knowledge or training?	Is classical music dead?	0
71617	71617	123202	123203	What is the best way to paint air dry clay?	Can I paint air dry clay with oil paint?	0
71620	71620	123207	123208	Which is a good inpatient drug and alcohol rehab center in Johnson County KY?	Which is a good inpatient drug and alcohol rehab center in Montgomery County KY?	0
71643	71643	123244	55501	Where can I get best quality soft contact lenses in Sydney?	Where can I buy best quality colored contact lenses in Sydney?	0
71644	71644	123245	123246	Does Lavender Brown die in Harry Potter?	Did Lavender Brown die in the battle of hogwarts?	1
71691	71691	123322	123323	Are there lesbian trans women?	Are transgender people gay or straight?	0
71706	71706	123347	123348	How do you get a military star card?	What is the best way to get a military star card?	0
71744	71744	19121	22153	Where can I get best legal support for property transaction in Sydney?	Where can I get best property transaction support in Sydney?	1
71830	71830	123547	123548	Are pirates real?	Are space pirates real?	0
71833	71833	123553	113361	Why is CaSO4 (calcium sulphate) not soluble in hot water but soluble in cold water?	Is benzene soluble in water?	0
71877	71877	123620	123621	What is a permanent solution for rough and puffy hair?	Does permanent hair dye damage my hair?	0
71926	71926	123688	123689	Will federal express ship human cremains?	Can I ship human cremains by federal express?	1
71944	71944	123716	123717	Where is the best Godrej Washing Machine Repair Center in Hyderabad?	Where can we find the best Godrej Washing Machine Repair Center in Hyderabad?	1
71954	71954	123731	123732	What's Newton's third law of motion?	What's Newton's third law?	1
72000	72000	123804	123805	Can white hairs turn into black?	Can white hair turn into black?	1
72017	72017	123831	73856	What is the best programming language for machine learning?	Which is best programming language for machine learning?	1
72061	72061	1214	88874	Can World War 3 ever take place?	Is World War III on its way right now?	1
72094	72094	57107	18858	Which food is the best to gain weight?	What is the best diet to gain weight?	1
72135	72135	124006	124007	Can most of the local Hong Kong Chinese people master huge English vocabulary?	Can most of the local Hong Kong Chinese people read English very fluently and speak English very fluently?	1
72174	72174	11147	124065	What one exercise will help me lose belly fat?	What are the best ways to burn belly fat?	1
72322	72322	34436	124288	Does juice make you gain weight?	Does vodka make you gain weight?	0
72371	72371	124366	124367	What are the symptoms and signs of pancreatic cancer?	Why is pancreatic cancer so deadly?	0
72393	72393	124398	124399	What is the best place to live in Asia?	Where is the best place to live in Southeast Asia and why?	0
72422	72422	124436	58738	Why Electron affinity of Fluorine is less than Chlorine?	The electron affinity of fluorine is less than chlorine. Why?	1
72448	72448	3749	1003	Why World War III are inevitable?	Is World War III imminent?	0
72452	72452	86917	124474	Are radar detectors legal in texas?	Are radar detectors legal in California?	0
72613	72613	124725	124726	What does deadly nightshade smell like?	How do I get rid of the smell of a dead animal?	0
72690	72690	124845	124846	Is there an inpatient Drug and Alcohol Rehab Center in Plumas County California?	Is there an inpatient Drug and Alcohol Rehab Center in Mendocino County California?	0
72737	72737	71281	54944	How many kilometers should I walk per day to lose weight in one month?	Can eating only one meal a day make you lose weight?	0
72787	72787	125004	125005	Is Apple a good long term investment?	Is Apple stock a good investment for the long term?	1
72947	72947	125247	125248	How many FPS can the eye see?	What is the real limit of FPS that an eye can see?	1
72949	72949	125250	125251	Should we cook with extra virgin olive oil?	Can I eat extra virgin olive oil without cooking?	0
72987	72987	125309	125310	What is the Best book to learn Chinese?	Which is the best book for learning Chinese?	1
73011	73011	125347	125348	What is it like to work as a summer analyst intern at Goldman Sachs in India?	What is it like to work as a summer analyst intern at Goldman Sachs in India? Is an individual given technical task or managerial task	1
73078	73078	125446	125447	Should I use protein shake?	How do I use protein shakes?	0
73087	73087	61328	125461	How can you determine the chemical formula for calcium acetate?	How can you determine the chemical formula for calcium nitride?	0
73134	73134	125532	108357	How much caffeine is in coffee ice cream?	Why does coffee make me sleepy instead of active?	0
73159	73159	125571	125572	What is the difference between an alpha helix and a beta sheet?	Why is the DNA structure a double helix?	0
73186	73186	48103	3062	How close we are to see 3rd world war?	How close is a World War III?	1
73187	73187	125617	125618	Are there offline tools to analyze DNA sequencing from 23andMe and Family Tree DNA?	What is best site to analyze 23andme raw data?	0
73238	73238	125692	125693	Nerve cell function?	What is nerve cell?	0
73279	73279	125763	125764	What is the difference between angular velocity and angular acceleration?	What is the difference between angular velocity and angular displacement?	0
73293	73293	125783	125784	What is the reaction between hydrochloric acid and iron?	What is the reaction between magnesium oxide and hydrochloric acid?	0
73309	73309	125808	125809	Can I apply aloe vera gel to my face every night before sleeping?	Can I store raw aloe vera gel?	0
73314	73314	13953	111723	Can India host the Summer Olympics?	Can India ever host the Olympics?	1
73337	73337	125850	125851	Can adults drink human breast milk?	Can an adult male drink breast milk?	0
73361	73361	125884	125885	Differences between abstract and interface class?	Abstract and interface class?	1
73404	73404	125960	125961	Should I drink green tea in the morning before eating anything for weight loss?	What is the best green tea for weight loss?	0
